


A.  .plot_3.curve_1.TIME (sec)
B.  .plot_3.curve_1.y_data (newton)
C.  .plot_3.curve_2.y_data (newton)

       A               B               C         
 1.160000E+00   -2.170555E+01   -2.170555E+01   
 1.170000E+00   -2.445588E+01   -2.445588E+01   
 1.180000E+00   -2.124702E+01   -2.124702E+01   
 1.190000E+00   -1.252966E+01   -1.252966E+01   
 1.200000E+00    4.718874E-01    4.718874E-01   
 1.210000E+00    1.593158E+01    1.593158E+01   
 1.220000E+00    3.167816E+01    3.167816E+01   
 1.230000E+00    4.550006E+01    4.550006E+01   
 1.240000E+00    5.545604E+01    5.545604E+01   
 1.250000E+00    6.014781E+01    6.014781E+01   
 1.260000E+00    5.891642E+01    5.891642E+01   
 1.270000E+00    5.193483E+01    5.193483E+01   
 1.280000E+00    4.018357E+01    4.018357E+01   
 1.290000E+00    2.531307E+01    2.531307E+01   
 1.300000E+00    9.411853E+00    9.411853E+00   
 1.310000E+00   -5.286803E+00   -5.286803E+00   
 1.320000E+00   -1.671852E+01   -1.671852E+01   
 1.330000E+00   -2.327774E+01   -2.327774E+01   
 1.340000E+00   -2.404324E+01   -2.404324E+01   
 1.350000E+00   -1.890752E+01   -1.890752E+01   
 1.360000E+00   -8.591867E+00   -8.591867E+00   
 1.370000E+00    5.454916E+00    5.454916E+00   
 1.380000E+00    2.126000E+01    2.126000E+01   
 1.390000E+00    3.660360E+01    3.660360E+01   
 1.400000E+00    4.933077E+01    4.933077E+01   
 1.410000E+00    5.765400E+01    5.765400E+01   
 1.420000E+00    6.040433E+01    6.040433E+01   
 1.430000E+00    5.719547E+01    5.719547E+01   
 1.440000E+00    4.847810E+01    4.847810E+01   
 1.450000E+00    3.547656E+01    3.547656E+01   
 1.460000E+00    2.001687E+01    2.001687E+01   
 1.470000E+00    4.270290E+00    4.270290E+00   
 1.480000E+00   -9.551610E+00   -9.551610E+00   
 1.490000E+00   -1.950759E+01   -1.950759E+01   
 1.500000E+00   -2.419936E+01   -2.419936E+01   
 1.510000E+00   -2.296797E+01   -2.296797E+01   
 1.520000E+00   -1.598638E+01   -1.598638E+01   
 1.530000E+00   -4.235116E+00   -4.235116E+00   
 1.540000E+00    1.063538E+01    1.063538E+01   
 1.550000E+00    2.653660E+01    2.653660E+01   
 1.560000E+00    4.123525E+01    4.123525E+01   
 1.570000E+00    5.266697E+01    5.266697E+01   
 1.580000E+00    5.922619E+01    5.922619E+01   
 1.590000E+00    5.999170E+01    5.999170E+01   
 1.600000E+00    5.485597E+01    5.485597E+01   
 1.610000E+00    4.454032E+01    4.454032E+01   
 1.620000E+00    3.049354E+01    3.049354E+01   
 1.630000E+00    1.468845E+01    1.468845E+01   
 1.640000E+00   -6.551532E-01   -6.551532E-01   
 1.650000E+00   -1.338232E+01   -1.338232E+01   
 1.660000E+00   -2.170555E+01   -2.170555E+01   
 1.670000E+00   -2.445587E+01   -2.445587E+01   
 1.680000E+00   -2.124702E+01   -2.124702E+01   
 1.690000E+00   -1.252965E+01   -1.252965E+01   
 1.700000E+00    4.718905E-01    4.718905E-01   
 1.710000E+00    1.593158E+01    1.593158E+01   
 1.720000E+00    3.167816E+01    3.167816E+01   
 1.730000E+00    4.550006E+01    4.550006E+01   
 1.740000E+00    5.545604E+01    5.545604E+01   
 1.750000E+00    6.014781E+01    6.014781E+01   
 1.760000E+00    5.891642E+01    5.891642E+01   
 1.770000E+00    5.193483E+01    5.193483E+01   
 1.780000E+00    4.018357E+01    4.018357E+01   
 1.790000E+00    2.531307E+01    2.531307E+01   
 1.800000E+00    9.411856E+00    9.411856E+00   
 1.810000E+00   -5.286800E+00   -5.286800E+00   
 1.820000E+00   -1.671851E+01   -1.671851E+01   
 1.830000E+00   -2.327774E+01   -2.327774E+01   
 1.840000E+00   -2.404324E+01   -2.404324E+01   
 1.850000E+00   -1.890752E+01   -1.890752E+01   
 1.860000E+00   -8.591864E+00   -8.591864E+00   
 1.870000E+00    5.454919E+00    5.454919E+00   
 1.880000E+00    2.126000E+01    2.126000E+01   
 1.890000E+00    3.660361E+01    3.660361E+01   
 1.900000E+00    4.933077E+01    4.933077E+01   
 1.910000E+00    5.765400E+01    5.765400E+01   
 1.920000E+00    6.040433E+01    6.040433E+01   
 1.930000E+00    5.719547E+01    5.719547E+01   
 1.940000E+00    4.847811E+01    4.847811E+01   
 1.950000E+00    3.547656E+01    3.547656E+01   
 1.960000E+00    2.001687E+01    2.001687E+01   
 1.970000E+00    4.270293E+00    4.270293E+00   
 1.980000E+00   -9.551607E+00   -9.551607E+00   
 1.990000E+00   -1.950759E+01   -1.950759E+01   
 2.000000E+00   -2.419935E+01   -2.419935E+01   
 2.010000E+00   -2.296797E+01   -2.296797E+01   
 2.020000E+00   -1.598637E+01   -1.598637E+01   
 2.030000E+00   -4.235113E+00   -4.235113E+00   
 2.040000E+00    1.063538E+01    1.063538E+01   
 2.050000E+00    2.653660E+01    2.653660E+01   
 2.060000E+00    4.123526E+01    4.123526E+01   
 2.070000E+00    5.266697E+01    5.266697E+01   
 2.080000E+00    5.922619E+01    5.922619E+01   
 2.090000E+00    5.999170E+01    5.999170E+01   
 2.100000E+00    5.485597E+01    5.485597E+01   
 2.110000E+00    4.454032E+01    4.454032E+01   
 2.120000E+00    3.049354E+01    3.049354E+01   
 2.130000E+00    1.468845E+01    1.468845E+01   
 2.140000E+00   -6.551509E-01   -6.551509E-01   
 2.150000E+00   -1.338232E+01   -1.338232E+01   
 2.160000E+00   -2.170555E+01   -2.170555E+01   
 2.170000E+00   -2.445587E+01   -2.445587E+01   
 2.180000E+00   -2.124701E+01   -2.124701E+01   
 2.190000E+00   -1.252965E+01   -1.252965E+01   
 2.200000E+00    4.718927E-01    4.718927E-01   
 2.210000E+00    1.593159E+01    1.593159E+01   
 2.220000E+00    3.167816E+01    3.167816E+01   
 2.230000E+00    4.550006E+01    4.550006E+01   
 2.240000E+00    5.545604E+01    5.545604E+01   
 2.250000E+00    6.014781E+01    6.014781E+01   
 2.260000E+00    5.891643E+01    5.891643E+01   
 2.270000E+00    5.193483E+01    5.193483E+01   
 2.280000E+00    4.018357E+01    4.018357E+01   
 2.290000E+00    2.531307E+01    2.531307E+01   
 2.300000E+00    9.411858E+00    9.411858E+00   
 2.310000E+00   -5.286798E+00   -5.286798E+00   
 2.320000E+00   -1.671851E+01   -1.671851E+01   
 2.330000E+00   -2.327773E+01   -2.327773E+01   
 2.340000E+00   -2.404324E+01   -2.404324E+01   
 2.350000E+00   -1.890752E+01   -1.890752E+01   
 2.360000E+00   -8.591862E+00   -8.591862E+00   
 2.370000E+00    5.454921E+00    5.454921E+00   
 2.380000E+00    2.126000E+01    2.126000E+01   
 2.390000E+00    3.660361E+01    3.660361E+01   
 2.400000E+00    4.933077E+01    4.933077E+01   
 2.410000E+00    5.765401E+01    5.765401E+01   
 2.420000E+00    6.040433E+01    6.040433E+01   
 2.430000E+00    5.719547E+01    5.719547E+01   
 2.440000E+00    4.847811E+01    4.847811E+01   
 2.450000E+00    3.547657E+01    3.547657E+01   
 2.460000E+00    2.001687E+01    2.001687E+01   
 2.470000E+00    4.270295E+00    4.270295E+00   
 2.480000E+00   -9.551605E+00   -9.551605E+00   
 2.490000E+00   -1.950758E+01   -1.950758E+01   
 2.500000E+00   -2.419935E+01   -2.419935E+01   
 2.510000E+00   -2.296797E+01   -2.296797E+01   
 2.520000E+00   -1.598637E+01   -1.598637E+01   
 2.530000E+00   -4.235111E+00   -4.235111E+00   
 2.540000E+00    1.063539E+01    1.063539E+01   
 2.550000E+00    2.653660E+01    2.653660E+01   
 2.560000E+00    4.123526E+01    4.123526E+01   
 2.570000E+00    5.266697E+01    5.266697E+01   
 2.580000E+00    5.922619E+01    5.922619E+01   
 2.590000E+00    5.999170E+01    5.999170E+01   
 2.600000E+00    5.485598E+01    5.485598E+01   
 2.610000E+00    4.454032E+01    4.454032E+01   
 2.620000E+00    3.049354E+01    3.049354E+01   
 2.630000E+00    1.468846E+01    1.468846E+01   
 2.640000E+00   -6.551492E-01   -6.551492E-01   
 2.650000E+00   -1.338231E+01   -1.338231E+01   
 2.660000E+00   -2.170554E+01   -2.170554E+01   
 2.670000E+00   -2.445587E+01   -2.445587E+01   
 2.680000E+00   -2.124701E+01   -2.124701E+01   
 2.690000E+00   -1.252965E+01   -1.252965E+01   
 2.700000E+00    4.718943E-01    4.718943E-01   
 2.710000E+00    1.593159E+01    1.593159E+01   
 2.720000E+00    3.167817E+01    3.167817E+01   
 2.730000E+00    4.550007E+01    4.550007E+01   
 2.740000E+00    5.545604E+01    5.545604E+01   
 2.750000E+00    6.014781E+01    6.014781E+01   
 2.760000E+00    5.891643E+01    5.891643E+01   
 2.770000E+00    5.193483E+01    5.193483E+01   
 2.780000E+00    4.018357E+01    4.018357E+01   
 2.790000E+00    2.531308E+01    2.531308E+01   
 2.800000E+00    9.411859E+00    9.411859E+00   
 2.810000E+00   -5.286797E+00   -5.286797E+00   
 2.820000E+00   -1.671851E+01   -1.671851E+01   
 2.830000E+00   -2.327773E+01   -2.327773E+01   
 2.840000E+00   -2.404324E+01   -2.404324E+01   
 2.850000E+00   -1.890752E+01   -1.890752E+01   
 2.860000E+00   -8.591861E+00   -8.591861E+00   
 2.870000E+00    5.454922E+00    5.454922E+00   
 2.880000E+00    2.126000E+01    2.126000E+01   
 2.890000E+00    3.660361E+01    3.660361E+01   
 2.900000E+00    4.933078E+01    4.933078E+01   
 2.910000E+00    5.765401E+01    5.765401E+01   
 2.920000E+00    6.040433E+01    6.040433E+01   
 2.930000E+00    5.719547E+01    5.719547E+01   
 2.940000E+00    4.847811E+01    4.847811E+01   
 2.950000E+00    3.547657E+01    3.547657E+01   
 2.960000E+00    2.001687E+01    2.001687E+01   
 2.970000E+00    4.270296E+00    4.270296E+00   
 2.980000E+00   -9.551604E+00   -9.551604E+00   
 2.990000E+00   -1.950758E+01   -1.950758E+01   
 3.000000E+00   -2.419935E+01   -2.419935E+01   
 3.010000E+00   -2.296797E+01   -2.296797E+01   
 3.020000E+00   -1.598637E+01   -1.598637E+01   
 3.030000E+00   -4.235110E+00   -4.235110E+00   
 3.040000E+00    1.063539E+01    1.063539E+01   
 3.050000E+00    2.653660E+01    2.653660E+01   
 3.060000E+00    4.123526E+01    4.123526E+01   
 3.070000E+00    5.266697E+01    5.266697E+01   
 3.080000E+00    5.922619E+01    5.922619E+01   
 3.090000E+00    5.999170E+01    5.999170E+01   
 3.100000E+00    5.485598E+01    5.485598E+01   
 3.110000E+00    4.454032E+01    4.454032E+01   
 3.120000E+00    3.049354E+01    3.049354E+01   
 3.130000E+00    1.468846E+01    1.468846E+01   
 3.140000E+00   -6.551480E-01   -6.551480E-01   
 3.150000E+00   -1.338231E+01   -1.338231E+01   
 3.160000E+00   -2.170554E+01   -2.170554E+01   
 3.170000E+00   -2.445587E+01   -2.445587E+01   
 3.180000E+00   -2.124701E+01   -2.124701E+01   
 3.190000E+00   -1.252965E+01   -1.252965E+01   
 3.200000E+00    4.718955E-01    4.718955E-01   
 3.210000E+00    1.593159E+01    1.593159E+01   
 3.220000E+00    3.167817E+01    3.167817E+01   
 3.230000E+00    4.550007E+01    4.550007E+01   
 3.240000E+00    5.545605E+01    5.545605E+01   
 3.250000E+00    6.014781E+01    6.014781E+01   
 3.260000E+00    5.891643E+01    5.891643E+01   
 3.270000E+00    5.193483E+01    5.193483E+01   
 3.280000E+00    4.018357E+01    4.018357E+01   
 3.290000E+00    2.531308E+01    2.531308E+01   
 3.300000E+00    9.411860E+00    9.411860E+00   
 3.310000E+00   -5.286796E+00   -5.286796E+00   
 3.320000E+00   -1.671851E+01   -1.671851E+01   
 3.330000E+00   -2.327773E+01   -2.327773E+01   
 3.340000E+00   -2.404324E+01   -2.404324E+01   
 3.350000E+00   -1.890751E+01   -1.890751E+01   
 3.360000E+00   -8.591860E+00   -8.591860E+00   
 3.370000E+00    5.454923E+00    5.454923E+00   
 3.380000E+00    2.126001E+01    2.126001E+01   
 3.390000E+00    3.660361E+01    3.660361E+01   
 3.400000E+00    4.933078E+01    4.933078E+01   
 3.410000E+00    5.765401E+01    5.765401E+01   
 3.420000E+00    6.040433E+01    6.040433E+01   
 3.430000E+00    5.719548E+01    5.719548E+01   
 3.440000E+00    4.847811E+01    4.847811E+01   
 3.450000E+00    3.547657E+01    3.547657E+01   
 3.460000E+00    2.001687E+01    2.001687E+01   
 3.470000E+00    4.270297E+00    4.270297E+00   
 3.480000E+00   -9.551603E+00   -9.551603E+00   
 3.490000E+00   -1.950758E+01   -1.950758E+01   
 3.500000E+00   -2.419935E+01   -2.419935E+01   
 3.510000E+00   -2.296797E+01   -2.296797E+01   
 3.520000E+00   -1.598637E+01   -1.598637E+01   
 3.530000E+00   -4.235109E+00   -4.235109E+00   
 3.540000E+00    1.063539E+01    1.063539E+01   
 3.550000E+00    2.653660E+01    2.653660E+01   
 3.560000E+00    4.123526E+01    4.123526E+01   
 3.570000E+00    5.266697E+01    5.266697E+01   
 3.580000E+00    5.922620E+01    5.922620E+01   
 3.590000E+00    5.999170E+01    5.999170E+01   
 3.600000E+00    5.485598E+01    5.485598E+01   
 3.610000E+00    4.454032E+01    4.454032E+01   
 3.620000E+00    3.049354E+01    3.049354E+01   
 3.630000E+00    1.468846E+01    1.468846E+01   
 3.640000E+00   -6.551471E-01   -6.551471E-01   
 3.650000E+00   -1.338231E+01   -1.338231E+01   
 3.660000E+00   -2.170554E+01   -2.170554E+01   
 3.670000E+00   -2.445587E+01   -2.445587E+01   
 3.680000E+00   -2.124701E+01   -2.124701E+01   
 3.690000E+00   -1.252965E+01   -1.252965E+01   
 3.700000E+00    4.718963E-01    4.718963E-01   
 3.710000E+00    1.593159E+01    1.593159E+01   
 3.720000E+00    3.167817E+01    3.167817E+01   
 3.730000E+00    4.550007E+01    4.550007E+01   
 3.740000E+00    5.545605E+01    5.545605E+01   
 3.750000E+00    6.014782E+01    6.014782E+01   
 3.760000E+00    5.891643E+01    5.891643E+01   
 3.770000E+00    5.193483E+01    5.193483E+01   
 3.780000E+00    4.018357E+01    4.018357E+01   
 3.790000E+00    2.531308E+01    2.531308E+01   
 3.800000E+00    9.411861E+00    9.411861E+00   
 3.810000E+00   -5.286795E+00   -5.286795E+00   
 3.820000E+00   -1.671851E+01   -1.671851E+01   
 3.830000E+00   -2.327773E+01   -2.327773E+01   
 3.840000E+00   -2.404324E+01   -2.404324E+01   
 3.850000E+00   -1.890751E+01   -1.890751E+01   
 3.860000E+00   -8.591859E+00   -8.591859E+00   
 3.870000E+00    5.454924E+00    5.454924E+00   
 3.880000E+00    2.126001E+01    2.126001E+01   
 3.890000E+00    3.660361E+01    3.660361E+01   
 3.900000E+00    4.933078E+01    4.933078E+01   
 3.910000E+00    5.765401E+01    5.765401E+01   
 3.920000E+00    6.040433E+01    6.040433E+01   
 3.930000E+00    5.719548E+01    5.719548E+01   
 3.940000E+00    4.847811E+01    4.847811E+01   
 3.950000E+00    3.547657E+01    3.547657E+01   
 3.960000E+00    2.001687E+01    2.001687E+01   
 3.970000E+00    4.270298E+00    4.270298E+00   
 3.980000E+00   -9.551602E+00   -9.551602E+00   
 3.990000E+00   -1.950758E+01   -1.950758E+01   
 4.000000E+00   -2.419935E+01   -2.419935E+01   
 4.010000E+00   -2.296796E+01   -2.296796E+01   
 4.020000E+00   -1.598637E+01   -1.598637E+01   
 4.030000E+00   -4.235108E+00   -4.235108E+00   
 4.040000E+00    1.063539E+01    1.063539E+01   
 4.050000E+00    2.653660E+01    2.653660E+01   
 4.060000E+00    4.123526E+01    4.123526E+01   
 4.070000E+00    5.266697E+01    5.266697E+01   
 4.080000E+00    5.922620E+01    5.922620E+01   
 4.090000E+00    5.999170E+01    5.999170E+01   
 4.100000E+00    5.485598E+01    5.485598E+01   
 4.110000E+00    4.454032E+01    4.454032E+01   
 4.120000E+00    3.049354E+01    3.049354E+01   
 4.130000E+00    1.468846E+01    1.468846E+01   
 4.140000E+00   -6.551465E-01   -6.551465E-01   
 4.150000E+00   -1.338231E+01   -1.338231E+01   
 4.160000E+00   -2.170554E+01   -2.170554E+01   
 4.170000E+00   -2.445587E+01   -2.445587E+01   
 4.180000E+00   -2.124701E+01   -2.124701E+01   
 4.190000E+00   -1.252965E+01   -1.252965E+01   
 4.200000E+00    4.718969E-01    4.718969E-01   
 4.210000E+00    1.593159E+01    1.593159E+01   
 4.220000E+00    3.167817E+01    3.167817E+01   
 4.230000E+00    4.550007E+01    4.550007E+01   
 4.240000E+00    5.545605E+01    5.545605E+01   
 4.250000E+00    6.014782E+01    6.014782E+01   
 4.260000E+00    5.891643E+01    5.891643E+01   
