""
"Test Method","Tensile test (ROUND specimen).msm"
"Sample I. D.","MaterialX_RT_1mm_min_fi64.mss"
"Specimen Number","3"

"Time (s)","Extension (mm)","Strain (%)","Load (N)","Stress (MPa)"

0.372,0.00033,0.00329,104.13343,3.27783
0.628,0.00072,0.00720,186.38086,5.86674
0.884,0.00115,0.01151,287.14178,9.03841
1.140,0.00150,0.01504,381.77192,12.01711
1.396,0.00181,0.01814,480.73418,15.13216
1.652,0.00221,0.02210,570.66188,17.96283
1.908,0.00260,0.02596,657.45903,20.69496
2.164,0.00290,0.02895,726.23267,22.85976
2.420,0.00323,0.03234,823.43256,25.91934
2.676,0.00369,0.03691,932.21252,29.34343
2.932,0.00409,0.04091,1039.88820,32.73275
3.188,0.00454,0.04542,1138.98059,35.85190
3.444,0.00491,0.04908,1236.34823,38.91676
3.700,0.00526,0.05256,1329.60710,41.85229
3.956,0.00577,0.05772,1437.47344,45.24762
4.212,0.00615,0.06151,1532.09334,48.22599
4.468,0.00657,0.06574,1634.68302,51.45522
4.724,0.00697,0.06972,1727.42745,54.37455
4.980,0.00732,0.07315,1829.30970,57.58152
5.236,0.00772,0.07721,1922.58184,60.51746
5.492,0.00809,0.08093,2018.30094,63.53043
5.748,0.00844,0.08438,2101.59180,66.15219
6.004,0.00882,0.08822,2199.79844,69.24346
6.260,0.00915,0.09154,2288.33895,72.03047
6.516,0.00967,0.09666,2392.19944,75.29970
6.772,0.00998,0.09980,2472.45916,77.82605
7.028,0.01034,0.10337,2564.98340,80.73846
7.284,0.01072,0.10718,2665.66127,83.90751
7.540,0.01107,0.11073,2762.27767,86.94873
7.796,0.01156,0.11564,2857.12275,89.93418
8.052,0.01190,0.11900,2951.50021,92.90492
8.308,0.01238,0.12377,3047.76522,95.93507
8.564,0.01287,0.12870,3150.00430,99.15327
8.820,0.01322,0.13224,3251.63875,102.35243
9.076,0.01368,0.13677,3342.99943,105.22821
9.332,0.01407,0.14066,3427.33480,107.88285
9.588,0.01447,0.14470,3520.98282,110.83063
9.844,0.01486,0.14862,3613.88890,113.75505
10.100,0.01525,0.15250,3710.78303,116.80500
10.356,0.01566,0.15662,3801.16553,119.64999
10.612,0.01603,0.16035,3885.94935,122.31875
10.868,0.01647,0.16475,3971.83754,125.02227
11.124,0.01689,0.16888,4058.96348,127.76474
11.380,0.01719,0.17187,4136.51407,130.20582
11.636,0.01756,0.17562,4221.51683,132.88147
11.892,0.01801,0.18008,4305.42132,135.52254
12.148,0.01839,0.18387,4373.54380,137.66685
12.404,0.01877,0.18768,4439.05142,139.72884
12.660,0.01926,0.19262,4517.06819,142.18459
12.916,0.01971,0.19712,4585.09714,144.32595
13.172,0.02007,0.20066,4649.89517,146.36561
13.428,0.02058,0.20576,4714.67810,148.40480
13.684,0.02104,0.21041,4776.93274,150.36440
13.940,0.02144,0.21442,4834.87421,152.18823
14.196,0.02193,0.21931,4881.67778,153.66147
14.452,0.02242,0.22419,4926.09242,155.05952
14.708,0.02286,0.22865,4980.68988,156.77810
14.964,0.02335,0.23347,5013.24809,157.80294
15.220,0.02395,0.23946,5062.23578,159.34493
15.476,0.02448,0.24476,5086.01538,160.09345
15.732,0.02499,0.24993,5121.48761,161.21001
15.988,0.02556,0.25565,5148.95939,162.07475
16.244,0.02604,0.26036,5182.64142,163.13496
16.500,0.02662,0.26619,5214.90199,164.15044
16.756,0.02725,0.27249,5239.26357,164.91727
17.012,0.02797,0.27971,5266.27007,165.76736
17.268,0.02858,0.28577,5285.72017,166.37959
17.524,0.02924,0.29243,5301.10743,166.86394
17.780,0.02969,0.29691,5330.47850,167.78846
18.036,0.03035,0.30351,5361.03833,168.75040
18.292,0.03107,0.31068,5379.03340,169.31683
18.548,0.03167,0.31674,5404.65972,170.12347
18.804,0.03229,0.32287,5416.58793,170.49894
19.060,0.03285,0.32850,5440.40481,171.24863
19.316,0.03342,0.33423,5462.56103,171.94604
19.572,0.03404,0.34044,5485.92432,172.68146
19.828,0.03465,0.34651,5505.06928,173.28408
20.084,0.03524,0.35242,5524.50587,173.89589
20.340,0.03585,0.35853,5544.48966,174.52493
20.596,0.03639,0.36388,5564.01950,175.13967
20.852,0.03697,0.36969,5580.91702,175.67156
21.108,0.03752,0.37525,5609.62708,176.57527
21.364,0.03813,0.38130,5627.49027,177.13755
21.620,0.03867,0.38667,5647.86829,177.77900
21.876,0.03927,0.39267,5669.55529,178.46164
22.132,0.03979,0.39787,5684.62237,178.93591
22.388,0.04037,0.40375,5703.19421,179.52050
22.644,0.04083,0.40831,5724.48265,180.19060
22.900,0.04150,0.41499,5749.25643,180.97041
23.156,0.04208,0.42082,5770.80892,181.64882
23.412,0.04264,0.42640,5777.84418,181.87027
23.668,0.04319,0.43193,5798.10876,182.50814
23.924,0.04376,0.43755,5831.79009,183.56834
24.180,0.04428,0.44284,5844.67089,183.97379
24.436,0.04479,0.44795,5857.31433,184.37177
24.692,0.04528,0.45275,5879.11381,185.05795
24.948,0.04591,0.45907,5892.55911,185.48117
25.204,0.04631,0.46315,5914.07978,186.15858
25.460,0.04694,0.46938,5941.62148,187.02552
25.716,0.04747,0.47470,5954.65699,187.43584
25.972,0.04798,0.47979,5979.92419,188.23118
26.228,0.04852,0.48516,5993.08583,188.64547
26.484,0.04913,0.49131,6009.75239,189.17009
26.740,0.04957,0.49571,6018.30144,189.43919
26.996,0.05014,0.50142,6053.26964,190.53989
27.252,0.05077,0.50770,6073.97730,191.19171
27.508,0.05134,0.51341,6091.25323,191.73551
27.764,0.05182,0.51820,6097.54499,191.93355
28.020,0.05234,0.52336,6111.80449,192.38240
28.276,0.05286,0.52856,6135.43013,193.12607
28.532,0.05350,0.53503,6160.18418,193.90526
28.788,0.05407,0.54066,6179.26560,194.50589
29.044,0.05455,0.54552,6196.96762,195.06310
29.300,0.05510,0.55105,6216.52802,195.67880
29.556,0.05561,0.55611,6229.54285,196.08847
29.812,0.05614,0.56138,6242.12583,196.48455
30.068,0.05675,0.56748,6269.68772,197.35212
30.324,0.05729,0.57289,6283.44862,197.78528
30.580,0.05786,0.57857,6306.66131,198.51595
30.836,0.05843,0.58430,6319.47979,198.91943
31.092,0.05896,0.58955,6339.33296,199.54436
31.348,0.05951,0.59515,6356.47404,200.08391
31.604,0.06006,0.60061,6373.45243,200.61834
31.860,0.06067,0.60666,6390.79560,201.16426
32.116,0.06122,0.61218,6406.92472,201.67196
32.372,0.06184,0.61838,6430.29284,202.40752
32.628,0.06234,0.62337,6437.75067,202.64227
32.884,0.06278,0.62777,6451.37461,203.07111
33.140,0.06335,0.63350,6476.86804,203.87357
33.396,0.06390,0.63903,6495.02233,204.44502
33.652,0.06445,0.64453,6510.31040,204.92625
33.908,0.06501,0.65006,6528.41840,205.49623
34.164,0.06550,0.65505,6536.74814,205.75843
34.420,0.06612,0.66115,6563.27210,206.59333
34.676,0.06663,0.66632,6572.09285,206.87098
34.932,0.06721,0.67215,6593.74832,207.55264
35.188,0.06789,0.67886,6608.26384,208.00954
35.444,0.06849,0.68492,6630.77132,208.71802
35.700,0.06904,0.69036,6631.24164,208.73282
35.956,0.06961,0.69613,6655.43226,209.49427
36.212,0.07016,0.70157,6677.52190,210.18959
36.468,0.07077,0.70765,6688.79878,210.54456
36.724,0.07128,0.71282,6708.35663,211.16018
36.980,0.07191,0.71906,6731.13609,211.87722
37.236,0.07244,0.72438,6742.54973,212.23649
37.492,0.07300,0.73002,6762.89626,212.87694
37.748,0.07351,0.73514,6772.47835,213.17855
38.004,0.07401,0.74014,6788.23898,213.67465
38.260,0.07464,0.74642,6812.34372,214.43340
38.516,0.07523,0.75233,6828.91863,214.95514
38.772,0.07585,0.75851,6839.74582,215.29594
39.028,0.07641,0.76413,6860.09015,215.93633
39.284,0.07703,0.77031,6871.48041,216.29486
39.540,0.07743,0.77429,6888.31156,216.82466
39.796,0.07797,0.77974,6904.41228,217.33146
40.052,0.07853,0.78532,6923.44836,217.93067
40.308,0.07904,0.79041,6936.54666,218.34296
40.564,0.07960,0.79599,6952.61875,218.84887
40.820,0.08018,0.80180,6969.27991,219.37331
41.076,0.08082,0.80818,6987.50971,219.94714
41.332,0.08134,0.81339,6998.29104,220.28650
41.588,0.08191,0.81905,7009.17113,220.62898
41.844,0.08242,0.82416,7027.07773,221.19263
42.100,0.08289,0.82893,7039.20722,221.57443
42.356,0.08343,0.83434,7052.71092,221.99949
42.612,0.08394,0.83940,7067.17389,222.45474
42.868,0.08461,0.84606,7086.03718,223.04850
43.124,0.08505,0.85051,7096.27621,223.37080
43.380,0.08570,0.85703,7120.44180,224.13146
43.636,0.08637,0.86370,7131.37262,224.47554
43.892,0.08693,0.86934,7138.35607,224.69536
44.148,0.08741,0.87407,7150.87454,225.08940
44.404,0.08793,0.87932,7173.97039,225.81639
44.660,0.08840,0.88400,7179.62790,225.99448
44.916,0.08902,0.89015,7205.46965,226.80790
45.172,0.08954,0.89545,7219.16438,227.23897
45.428,0.09015,0.90151,7232.16287,227.64813
45.684,0.09062,0.90615,7249.07140,228.18036
45.940,0.09119,0.91192,7258.01546,228.46190
46.196,0.09165,0.91654,7272.11259,228.90563
46.452,0.09220,0.92205,7293.99361,229.59439
46.708,0.09282,0.92816,7299.79445,229.77698
46.964,0.09332,0.93318,7321.13295,230.44866
