""
"Test Method","Tensile test (ROUND specimen).msm"
"Sample I. D.","MaterialX_RT_1mm_min_fi64.mss"
"Specimen Number","4"

"Time (s)","Extension (mm)","Strain (%)","Load (N)","Stress (MPa)"
32.116,0.06172,0.61718,6409.40581,201.75005
32.372,0.06223,0.62232,6423.52600,202.19452
32.628,0.06285,0.62845,6438.77092,202.67438
32.884,0.06340,0.63399,6453.63894,203.14239
33.140,0.06403,0.64026,6467.54753,203.58019
33.396,0.06457,0.64568,6487.01229,204.19289
33.652,0.06517,0.65170,6507.88714,204.84997
33.908,0.06575,0.65751,6521.66036,205.28351
34.164,0.06625,0.66251,6533.68777,205.66210
34.420,0.06678,0.66779,6554.79110,206.32637
34.676,0.06735,0.67353,6579.33205,207.09885
34.932,0.06786,0.67858,6589.06795,207.40531
35.188,0.06838,0.68375,6601.96307,207.81121
35.444,0.06888,0.68882,6605.93568,207.93626
35.700,0.06940,0.69400,6638.14992,208.95027
35.956,0.06998,0.69977,6658.83575,209.60141
36.212,0.07047,0.70475,6676.25372,210.14967
36.468,0.07097,0.70968,6688.44233,210.53334
36.724,0.07150,0.71502,6705.23515,211.06193
36.980,0.07206,0.72060,6729.19250,211.81604
37.236,0.07258,0.72580,6740.10262,212.15946
37.492,0.07322,0.73223,6763.80318,212.90548
37.748,0.07385,0.73846,6780.43283,213.42894
38.004,0.07444,0.74445,6787.38548,213.64779
38.260,0.07489,0.74892,6805.29195,214.21143
38.516,0.07538,0.75379,6811.45177,214.40533
38.772,0.07591,0.75908,6836.95238,215.20802
39.028,0.07649,0.76486,6857.78452,215.86375
39.284,0.07696,0.76958,6866.44998,216.13652
39.540,0.07761,0.77611,6889.19940,216.85260
39.796,0.07819,0.78187,6899.98247,217.19203
40.052,0.07873,0.78733,6914.83718,217.65961
40.308,0.07928,0.79276,6931.07609,218.17076
40.564,0.07979,0.79794,6948.60263,218.72245
40.820,0.08032,0.80324,6961.45598,219.12704
41.076,0.08086,0.80863,6978.81344,219.67340
41.332,0.08147,0.81471,6995.50301,220.19874
41.588,0.08211,0.82113,7009.30323,220.63314
41.844,0.08269,0.82692,7016.20929,220.85052
42.100,0.08321,0.83213,7038.29780,221.54580
42.356,0.08384,0.83836,7061.18929,222.26636
42.612,0.08437,0.84368,7070.64272,222.56393
42.868,0.08493,0.84929,7074.72655,222.69248
43.124,0.08548,0.85479,7091.89921,223.23302
43.380,0.08609,0.86087,7111.32466,223.84448
43.636,0.08661,0.86611,7132.98276,224.52622
43.892,0.08708,0.87075,7147.80126,224.99266
44.148,0.08768,0.87676,7161.41159,225.42108
44.404,0.08826,0.88258,7170.59139,225.71003
44.660,0.08886,0.88864,7184.17542,226.13762
44.916,0.08929,0.89290,7193.55703,226.43293
45.172,0.08978,0.89785,7222.89471,227.35639
45.428,0.09028,0.90284,7235.30758,227.74712
45.684,0.09081,0.90808,7246.16448,228.08886
45.940,0.09145,0.91445,7264.02309,228.65100
46.196,0.09207,0.92074,7282.28743,229.22591
46.452,0.09263,0.92634,7298.64280,229.74073
46.708,0.09315,0.93151,7310.77661,230.12267
46.964,0.09364,0.93640,7330.36481,230.73925
47.220,0.09419,0.94189,7340.29278,231.05175
47.476,0.09479,0.94790,7351.04776,231.39029
47.732,0.09542,0.95419,7360.44165,231.68598
47.988,0.09584,0.95840,7376.41119,232.18866
48.244,0.09639,0.96390,7400.83448,232.95744
48.500,0.09683,0.96833,7406.14766,233.12468
48.756,0.09744,0.97444,7422.36409,233.63513
49.012,0.09805,0.98053,7437.70355,234.11797
49.268,0.09864,0.98636,7443.74434,234.30812
49.524,0.09901,0.99006,7455.01027,234.66274
49.780,0.09946,0.99456,7476.97404,235.35410
50.036,0.09992,0.99920,7491.48409,235.81083
50.292,0.10057,1.00570,7511.93318,236.45451
50.548,0.10108,1.01077,7506.40806,236.28060
50.804,0.10178,1.01780,7520.48306,236.72364
51.060,0.10233,1.02326,7543.98150,237.46330
51.316,0.10288,1.02875,7563.35971,238.07327
51.572,0.10337,1.03373,7575.42015,238.45290
51.828,0.10395,1.03953,7584.02693,238.72382
52.084,0.10461,1.04614,7595.41036,239.08214
52.340,0.10515,1.05152,7607.72067,239.46963
52.596,0.10568,1.05676,7626.78850,240.06983
52.852,0.10623,1.06231,7646.03444,240.67564
53.108,0.10675,1.06751,7658.76764,241.07645
53.364,0.10732,1.07325,7667.70177,241.35767
53.620,0.10788,1.07885,7670.03607,241.43114
53.876,0.10853,1.08535,7691.01041,242.09136
54.132,0.10910,1.09100,7701.96783,242.43627
54.388,0.10963,1.09634,7720.19157,243.00990
54.644,0.11013,1.10126,7730.73034,243.34163
54.900,0.11067,1.10666,7746.74835,243.84583
55.156,0.11127,1.11273,7754.63392,244.09405
55.412,0.11187,1.11868,7763.63867,244.37749
55.668,0.11246,1.12459,7790.29017,245.21641
55.924,0.11303,1.13032,7803.60685,245.63558
56.180,0.11355,1.13546,7812.70699,245.92202
56.436,0.11405,1.14046,7822.59269,246.23320
56.692,0.11455,1.14554,7842.41264,246.85707
56.948,0.11515,1.15153,7851.48336,247.14259
57.204,0.11574,1.15742,7856.00493,247.28492
57.460,0.11638,1.16378,7878.00348,247.97737
57.716,0.11687,1.16873,7888.51401,248.30822
57.972,0.11720,1.17196,7892.88892,248.44593
58.228,0.11775,1.17749,7904.61338,248.81498
58.484,0.11828,1.18279,7925.87996,249.48439
58.740,0.11887,1.18870,7940.03465,249.92994
58.996,0.11939,1.19395,7948.59229,250.19931
59.252,0.11983,1.19831,7956.31721,250.44247
59.508,0.12048,1.20478,7974.41827,251.01224
59.764,0.12104,1.21039,7987.61815,251.42773
60.020,0.12171,1.21711,8003.86670,251.93919
60.276,0.12226,1.22255,8008.17162,252.07470
60.532,0.12274,1.22742,8029.82154,252.75618
60.788,0.12331,1.23314,8044.10397,253.20575
61.044,0.12375,1.23754,8044.42802,253.21595
61.300,0.12428,1.24281,8062.06802,253.77121
61.556,0.12490,1.24899,8077.10352,254.24448
61.812,0.12559,1.25586,8093.28776,254.75392
62.068,0.12612,1.26119,8098.89578,254.93044
62.324,0.12658,1.26583,8107.44674,255.19960
62.580,0.12711,1.27113,8126.10736,255.78699
62.836,0.12777,1.27773,8133.52820,256.02057
63.092,0.12833,1.28326,8153.04548,256.63492
63.348,0.12888,1.28877,8156.74012,256.75122
63.604,0.12939,1.29390,8171.50524,257.21598
63.860,0.12991,1.29913,8182.19831,257.55257
64.116,0.13056,1.30557,8190.24006,257.80570
64.372,0.13121,1.31214,8203.97493,258.23804
64.628,0.13169,1.31694,8222.93452,258.83483
64.884,0.13222,1.32218,8230.01520,259.05771
65.140,0.13269,1.32692,8243.36445,259.47791
65.396,0.13331,1.33310,8251.10147,259.72145
65.652,0.13393,1.33926,8264.39769,260.13998
65.908,0.13449,1.34488,8272.69399,260.40112
66.164,0.13502,1.35017,8286.90953,260.84858
66.420,0.13552,1.35521,8307.01609,261.48148
66.676,0.13613,1.36129,8312.87666,261.66596
66.932,0.13669,1.36691,8322.73523,261.97628
67.188,0.13721,1.37208,8335.46191,262.37688
67.444,0.13773,1.37726,8347.64464,262.76036
67.700,0.13833,1.38328,8358.21841,263.09319
67.956,0.13904,1.39044,8372.94371,263.55670
68.212,0.13971,1.39714,8382.62847,263.86155
68.468,0.14013,1.40127,8390.11406,264.09717
68.724,0.14069,1.40695,8403.76938,264.52700
68.980,0.14127,1.41265,8421.16107,265.07445
69.236,0.14174,1.41739,8425.91862,265.22420
69.492,0.14223,1.42232,8442.86234,265.75754
69.748,0.14306,1.43064,8456.37409,266.18285
70.004,0.14352,1.43517,8460.41050,266.30991
70.260,0.14395,1.43947,8457.88882,266.23053
70.516,0.14448,1.44478,8472.14766,266.67936
70.772,0.14497,1.44969,8491.25905,267.28093
71.028,0.14549,1.45489,8498.40385,267.50583
71.284,0.14594,1.45938,8508.61730,267.82732
71.540,0.14646,1.46455,8511.44139,267.91622
71.796,0.14706,1.47059,8534.81429,268.65193
72.052,0.14762,1.47618,8549.92190,269.12747
72.308,0.14819,1.48189,8564.74251,269.59398
72.564,0.14867,1.48671,8571.85044,269.81772
72.820,0.14925,1.49253,8590.95042,270.41894
73.076,0.14972,1.49717,8587.46472,270.30922
73.332,0.15024,1.50243,8609.19113,270.99310
73.588,0.15084,1.50842,8612.62493,271.10119
73.844,0.15137,1.51371,8617.39462,271.25133
74.100,0.15193,1.51933,8631.30234,271.68910
74.356,0.15256,1.52559,8648.46118,272.22921
74.612,0.15313,1.53130,8654.68825,272.42522
74.868,0.15372,1.53722,8666.78305,272.80593
75.124,0.15418,1.54181,8670.26740,272.91561
75.380,0.15466,1.54659,8684.94634,273.37766
75.636,0.15522,1.55216,8693.89078,273.65921
75.892,0.15586,1.55857,8713.54975,274.27802
76.148,0.15638,1.56385,8710.77489,274.19067
76.404,0.15698,1.56978,8723.63428,274.59545
76.660,0.15778,1.57783,8730.43447,274.80950
76.916,0.15834,1.58343,8741.01119,275.14243
77.172,0.15883,1.58833,8760.62725,275.75989
77.428,0.15933,1.59332,8765.06155,275.89946
77.684,0.15989,1.59892,8776.19965,276.25006
77.940,0.16047,1.60469,8788.57683,276.63966
78.196,0.16103,1.61029,8796.52015,276.88969
78.452,0.16160,1.61600,8808.15603,277.25596
78.708,0.16213,1.62126,8820.04739,277.63026
78.964,0.16275,1.62746,8829.67017,277.93316
79.220,0.16329,1.63288,8839.36572,278.23835
79.476,0.16386,1.63863,8846.11207,278.45071
79.732,0.16442,1.64420,8859.81926,278.88217
79.988,0.16491,1.64907,8868.88457,279.16752
80.244,0.16546,1.65457,8882.86731,279.60766
80.500,0.16602,1.66022,8894.94400,279.98780
80.756,0.16662,1.66622,8898.22934,280.09121
81.012,0.16718,1.67181,8913.19062,280.56215
81.268,0.16779,1.67794,8919.72524,280.76784
81.524,0.16835,1.68350,8929.31782,281.06979
81.780,0.16885,1.68846,8925.35177,280.94495
82.036,0.16925,1.69249,8938.46268,281.35764
82.292,0.16985,1.69850,8956.28819,281.91874
82.548,0.17046,1.70461,8965.61933,282.21246
82.804,0.17099,1.70995,8968.26926,282.29587
83.060,0.17149,1.71492,8984.31880,282.80107
83.316,0.17194,1.71938,8998.50684,283.24767
83.572,0.17258,1.72583,9015.83312,283.79305
83.828,0.17320,1.73197,9019.56271,283.91044
84.084,0.17369,1.73693,9022.07612,283.98956
84.340,0.17431,1.74313,9034.90059,284.39324
84.596,0.17489,1.74893,9049.04007,284.83831
