""
"Test Method","Tensile test (ROUND specimen).msm"
"Sample I. D.","MaterialX_RT_1mm_min_fi64.mss"
"Specimen Number","1"

"Time (s)","Extension (mm)","Strain (%)","Load (N)","Stress (MPa)"

0.244,-0.00006,-0.00055,43.86223,1.38066
0.372,0.00019,0.00185,98.15735,3.08972
0.500,0.00036,0.00359,147.50477,4.64303
0.628,0.00048,0.00482,186.54560,5.87193
0.756,0.00069,0.00691,239.76619,7.54716
0.884,0.00090,0.00902,287.05705,9.03575
1.012,0.00119,0.01186,346.06573,10.89317
1.140,0.00134,0.01336,388.57620,12.23129
1.268,0.00153,0.01530,435.72516,13.71540
1.396,0.00167,0.01666,479.42837,15.09106
1.524,0.00192,0.01924,534.17480,16.81432
1.652,0.00218,0.02176,580.15157,18.26154
1.780,0.00232,0.02318,626.30750,19.71440
1.908,0.00254,0.02538,676.86446,21.30579
2.036,0.00276,0.02761,732.67797,23.06264
2.164,0.00292,0.02924,771.92819,24.29813
2.292,0.00312,0.03117,823.98717,25.93680
2.420,0.00336,0.03360,859.18986,27.04488
2.548,0.00344,0.03443,905.61606,28.50624
2.676,0.00368,0.03681,953.54094,30.01478
2.804,0.00387,0.03872,999.50561,31.46162
2.932,0.00409,0.04088,1054.96455,33.20731
3.060,0.00432,0.04324,1099.49211,34.60892
3.188,0.00445,0.04447,1154.35879,36.33597
3.316,0.00471,0.04705,1200.28561,37.78161
3.444,0.00490,0.04897,1249.85832,39.34202
3.572,0.00508,0.05076,1300.24536,40.92806
3.700,0.00535,0.05348,1344.81036,42.33084
3.828,0.00569,0.05685,1395.15886,43.91567
3.956,0.00583,0.05834,1441.99843,45.39005
4.084,0.00605,0.06051,1490.49763,46.91667
4.212,0.00624,0.06240,1533.95703,48.28465
4.340,0.00640,0.06397,1580.54179,49.75101
4.468,0.00662,0.06617,1636.12062,51.50047
4.596,0.00682,0.06816,1676.26656,52.76415
4.724,0.00707,0.07072,1734.45652,54.59581
4.852,0.00727,0.07274,1779.66583,56.01887
4.980,0.00740,0.07396,1819.95558,57.28708
5.108,0.00762,0.07616,1867.10447,58.77119
5.236,0.00783,0.07827,1920.70691,60.45845
5.364,0.00803,0.08034,1971.51032,62.05760
5.492,0.00830,0.08295,2020.65838,63.60464
5.620,0.00844,0.08440,2062.91481,64.93475
