""
"Test Method","Tensile test (ROUND specimen).msm"
"Sample I. D.","MaterialX_RT_1mm_min_fi64.mss"
"Specimen Number","1"

"Time (s)","Extension (mm)","Strain (%)","Load (N)","Stress (MPa)"
5.748,0.00868,0.08684,2113.68700,66.53292
5.876,0.00879,0.08790,2149.88788,67.67242
6.004,0.00905,0.09052,2209.35095,69.54415
6.132,0.00921,0.09207,2245.73214,70.68933
6.260,0.00944,0.09435,2308.48591,72.66464
6.388,0.00968,0.09683,2347.43679,73.89070
6.516,0.00978,0.09780,2399.76453,75.53783
6.644,0.01004,0.10038,2446.05864,76.99504
6.772,0.01017,0.10168,2495.41553,78.54866
6.900,0.01043,0.10428,2541.58461,80.00193
7.028,0.01061,0.10608,2592.31199,81.59868
7.156,0.01074,0.10741,2629.90581,82.78203
7.284,0.01102,0.11021,2690.74419,84.69705
7.412,0.01119,0.11192,2737.62133,86.17261
7.540,0.01144,0.11439,2783.94971,87.63090
7.668,0.01157,0.11573,2824.50907,88.90759
7.796,0.01181,0.11805,2875.33017,90.50730
7.924,0.01203,0.12032,2922.46902,91.99110
8.052,0.01216,0.12164,2974.17244,93.61858
8.180,0.01246,0.12464,3025.22349,95.22552
8.308,0.01266,0.12663,3066.69986,96.53108
8.436,0.01280,0.12805,3119.61171,98.19660
8.564,0.01308,0.13082,3168.67988,99.74112
8.692,0.01319,0.13191,3212.31746,101.11471
8.820,0.01343,0.13432,3260.57224,102.63364
8.948,0.01361,0.13614,3303.78798,103.99395
9.076,0.01384,0.13844,3353.58417,105.56139
9.204,0.01399,0.13995,3404.22768,107.15550
9.332,0.01429,0.14287,3447.66543,108.52280
9.460,0.01443,0.14430,3498.32415,110.11740
9.588,0.01458,0.14580,3535.72728,111.29474
9.716,0.01483,0.14825,3600.99877,113.34930
9.844,0.01506,0.15065,3637.40451,114.49525
9.972,0.01525,0.15246,3685.72944,116.01639
10.100,0.01541,0.15406,3724.72927,117.24399
10.228,0.01565,0.15655,3769.27106,118.64604
10.356,0.01575,0.15747,3811.35384,119.97069
10.484,0.01592,0.15925,3851.15365,121.22348
10.612,0.01613,0.16133,3885.89476,122.31703
10.740,0.01627,0.16272,3920.76054,123.41450
10.868,0.01651,0.16509,3959.38272,124.63022
10.996,0.01678,0.16779,4008.90961,126.18919
11.124,0.01703,0.17027,4048.71586,127.44218
11.252,0.01712,0.17117,4092.32565,128.81489
11.380,0.01742,0.17420,4129.33357,129.97980
11.508,0.01755,0.17552,4166.04190,131.13527
11.636,0.01778,0.17777,4204.06265,132.33206
11.764,0.01798,0.17978,4234.83724,133.30076
11.892,0.01815,0.18145,4265.36549,134.26170
12.020,0.01834,0.18342,4302.30157,135.42434
12.148,0.01858,0.18584,4338.58616,136.56648
12.276,0.01878,0.18777,4375.74427,137.73611
12.404,0.01898,0.18980,4407.63170,138.73984
12.532,0.01916,0.19164,4443.19893,139.85940
12.660,0.01938,0.19382,4476.16125,140.89696
12.788,0.01964,0.19640,4506.24835,141.84401
12.916,0.01977,0.19772,4534.87168,142.74500
13.044,0.02014,0.20139,4567.48397,143.77154
13.172,0.02024,0.20241,4595.36858,144.64927
13.300,0.02058,0.20577,4620.22495,145.43168
13.428,0.02072,0.20724,4642.79047,146.14197
13.556,0.02097,0.20971,4662.01009,146.74695
13.684,0.02123,0.21235,4697.30382,147.85790
13.812,0.02147,0.21470,4715.02438,148.41570
13.940,0.02174,0.21738,4737.97280,149.13805
14.068,0.02188,0.21883,4758.09027,149.77129
14.196,0.02211,0.22111,4773.88472,150.26845
14.324,0.02237,0.22375,4799.31745,151.06900
14.452,0.02257,0.22568,4819.67524,151.70981
14.580,0.02286,0.22861,4838.97511,152.31731
14.708,0.02309,0.23091,4856.82917,152.87931
14.836,0.02343,0.23426,4870.83751,153.32025
14.964,0.02379,0.23791,4895.80233,154.10608
15.092,0.02411,0.24113,4899.95240,154.23671
15.220,0.02438,0.24382,4925.15291,155.02995
15.348,0.02454,0.24539,4936.68941,155.39309
15.476,0.02487,0.24870,4964.07954,156.25525
15.604,0.02512,0.25116,4973.72617,156.55890
15.732,0.02541,0.25406,4984.95877,156.91247
15.860,0.02567,0.25672,5000.21997,157.39285
15.988,0.02600,0.26004,5013.67684,157.81643
16.116,0.02629,0.26291,5029.67383,158.31997
16.244,0.02665,0.26648,5042.16043,158.71302
16.372,0.02689,0.26894,5048.64509,158.91714
16.500,0.02705,0.27049,5066.40212,159.47608
16.628,0.02737,0.27372,5069.93194,159.58719
16.756,0.02766,0.27659,5096.45110,160.42193
16.884,0.02798,0.27977,5098.50508,160.48659
17.012,0.02828,0.28276,5114.88360,161.00214
17.140,0.02855,0.28553,5121.28947,161.20378
17.268,0.02883,0.28827,5134.31126,161.61367
17.396,0.02910,0.29104,5149.07016,162.07823
17.524,0.02942,0.29424,5159.23440,162.39818
17.652,0.02969,0.29688,5169.41359,162.71859
17.780,0.03001,0.30013,5181.53295,163.10007
17.908,0.03030,0.30297,5189.77855,163.35962
18.036,0.03062,0.30617,5206.21139,163.87688
18.164,0.03087,0.30866,5212.11515,164.06271
18.292,0.03120,0.31195,5229.40710,164.60702
18.420,0.03151,0.31509,5240.26166,164.94869
18.548,0.03180,0.31798,5256.98387,165.47505
18.676,0.03201,0.32007,5257.19294,165.48164
18.804,0.03236,0.32363,5269.32245,165.86344
18.932,0.03266,0.32664,5287.65461,166.44048
19.060,0.03297,0.32975,5294.90797,166.66880
19.188,0.03319,0.33185,5307.70829,167.07172
19.316,0.03352,0.33519,5320.83046,167.48477
19.444,0.03378,0.33776,5326.06902,167.64966
19.572,0.03408,0.34083,5344.21990,168.22100
19.700,0.03444,0.34444,5352.04058,168.46717
19.828,0.03470,0.34701,5363.53210,168.82889
19.956,0.03492,0.34924,5375.30101,169.19934
20.084,0.03525,0.35246,5392.75184,169.74865
20.212,0.03559,0.35587,5408.12909,170.23268
20.340,0.03585,0.35851,5407.51983,170.21350
20.468,0.03612,0.36117,5424.07248,170.73453
20.596,0.03636,0.36358,5429.95267,170.91962
20.724,0.03661,0.36609,5447.32098,171.46633
20.852,0.03692,0.36922,5451.33594,171.59271
20.980,0.03716,0.37160,5466.02440,172.05506
21.108,0.03749,0.37487,5476.94229,172.39873
21.236,0.03772,0.37715,5488.41012,172.75970
21.364,0.03793,0.37931,5492.46471,172.88733
21.492,0.03826,0.38262,5501.78657,173.18075
21.620,0.03839,0.38391,5508.48523,173.39161
21.748,0.03870,0.38703,5524.61385,173.89929
21.876,0.03901,0.39014,5543.67369,174.49924
22.004,0.03934,0.39337,5560.52696,175.02974
22.132,0.03963,0.39628,5557.24078,174.92630
22.260,0.03986,0.39858,5568.65658,175.28563
22.388,0.04010,0.40104,5574.66009,175.47461
22.516,0.04039,0.40395,5598.05433,176.21099
22.644,0.04073,0.40728,5600.58113,176.29053
22.772,0.04100,0.40999,5610.46977,176.60180
22.900,0.04119,0.41187,5621.74648,176.95675
23.028,0.04142,0.41421,5625.86294,177.08633
23.156,0.04169,0.41687,5638.88186,177.49613
23.284,0.04206,0.42056,5652.89290,177.93716
23.412,0.04233,0.42334,5661.48763,178.20769
23.540,0.04263,0.42627,5675.17238,178.63845
23.668,0.04283,0.42827,5682.92188,178.88238
23.796,0.04317,0.43170,5701.52079,179.46783
23.924,0.04356,0.43559,5698.75156,179.38066
24.052,0.04370,0.43696,5711.68971,179.78791
24.180,0.04392,0.43922,5724.46601,180.19008
24.308,0.04423,0.44234,5732.22367,180.43427
24.436,0.04453,0.44534,5748.86784,180.95818
24.564,0.04478,0.44775,5754.09355,181.12267
24.692,0.04508,0.45076,5755.48948,181.16661
24.820,0.04532,0.45322,5768.17799,181.56601
24.948,0.04558,0.45583,5779.67113,181.92778
25.076,0.04586,0.45856,5787.01737,182.15902
25.204,0.04611,0.46113,5794.76577,182.40291
25.332,0.04635,0.46350,5809.81678,182.87668
25.460,0.04658,0.46578,5828.51828,183.46535
25.588,0.04698,0.46981,5830.45263,183.52624
25.716,0.04716,0.47161,5846.58744,184.03411
25.844,0.04746,0.47465,5849.55153,184.12742
25.972,0.04768,0.47677,5867.20704,184.68316
26.100,0.04791,0.47907,5874.06569,184.89905
26.228,0.04819,0.48192,5887.29497,185.31547
26.356,0.04846,0.48455,5893.62392,185.51469
26.484,0.04876,0.48765,5901.52721,185.76346
26.612,0.04905,0.49049,5909.59609,186.01745
26.740,0.04922,0.49216,5913.80098,186.14981
26.868,0.04949,0.49492,5921.35166,186.38748
26.996,0.04981,0.49813,5937.35919,186.89135
27.124,0.05015,0.50153,5956.08326,187.48073
27.252,0.05036,0.50363,5970.54005,187.93579
27.380,0.05066,0.50662,5967.68530,187.84593
27.508,0.05100,0.51004,5979.93870,188.23164
27.636,0.05118,0.51185,5985.20527,188.39741
27.764,0.05144,0.51441,5997.04950,188.77024
27.892,0.05167,0.51673,6001.85587,188.92153
28.020,0.05205,0.52051,6017.78095,189.42280
28.148,0.05226,0.52255,6024.35971,189.62989
28.276,0.05264,0.52638,6038.63952,190.07937
28.404,0.05287,0.52866,6044.66492,190.26904
28.532,0.05313,0.53126,6050.32315,190.44714
28.660,0.05338,0.53378,6055.20485,190.60080
28.788,0.05355,0.53550,6071.49178,191.11347
28.916,0.05389,0.53893,6084.42326,191.52052
29.044,0.05418,0.54181,6097.48201,191.93157
29.172,0.05456,0.54557,6099.82320,192.00526
29.300,0.05481,0.54809,6109.68432,192.31566
29.428,0.05506,0.55056,6117.74151,192.56928
29.556,0.05528,0.55283,6129.24886,192.93150
29.684,0.05555,0.55549,6140.86255,193.29707
29.812,0.05587,0.55872,6147.58978,193.50882
29.940,0.05622,0.56218,6159.78592,193.89272
30.068,0.05645,0.56446,6162.19981,193.96870
30.196,0.05671,0.56714,6173.32984,194.31905
30.324,0.05697,0.56967,6182.09820,194.59505
30.452,0.05721,0.57206,6191.66235,194.89610
30.580,0.05747,0.57468,6198.65902,195.11634
30.708,0.05780,0.57801,6210.45765,195.48772
30.836,0.05806,0.58062,6224.83101,195.94016
30.964,0.05835,0.58353,6232.02707,196.16667
31.092,0.05861,0.58613,6229.46705,196.08609
31.220,0.05885,0.58852,6247.02320,196.63871
31.348,0.05922,0.59223,6261.37281,197.09039
31.476,0.05948,0.59480,6263.19081,197.14762
31.604,0.05967,0.59674,6264.14716,197.17772
31.732,0.05994,0.59939,6272.47613,197.43989
31.860,0.06017,0.60175,6282.48178,197.75484
31.988,0.06055,0.60551,6292.35797,198.06572
32.116,0.06087,0.60870,6309.61891,198.60904
32.244,0.06110,0.61098,6321.04818,198.96880
32.372,0.06133,0.61326,6327.01624,199.15666
32.500,0.06168,0.61680,6343.81528,199.68545
32.628,0.06199,0.61987,6345.04194,199.72406
32.756,0.06223,0.62226,6352.53441,199.95990
32.884,0.06245,0.62451,6349.86815,199.87597
33.012,0.06263,0.62632,6364.86276,200.34796
33.140,0.06287,0.62867,6368.90045,200.47506
33.268,0.06314,0.63143,6387.53989,201.06178
33.396,0.06349,0.63487,6397.11481,201.36317
33.524,0.06371,0.63714,6406.34242,201.65363
33.652,0.06400,0.64001,6414.99064,201.92585
33.780,0.06430,0.64296,6426.27429,202.28102
33.908,0.06453,0.64534,6424.06748,202.21156
34.036,0.06485,0.64849,6442.76687,202.80017
34.164,0.06514,0.65138,6448.53428,202.98171
34.292,0.06547,0.65473,6461.48643,203.38940
34.420,0.06567,0.65670,6460.89781,203.37088
34.548,0.06589,0.65888,6466.83245,203.55768
34.676,0.06620,0.66203,6474.43221,203.79690
34.804,0.06636,0.66357,6489.74215,204.27881
34.932,0.06679,0.66789,6510.11415,204.92007
35.060,0.06704,0.67041,6511.32393,204.95815
35.188,0.06735,0.67352,6511.67131,204.96908
35.316,0.06761,0.67609,6519.66724,205.22077
35.444,0.06783,0.67835,6527.16924,205.45691
35.572,0.06808,0.68081,6538.88222,205.82561
35.700,0.06835,0.68354,6545.30716,206.02784
35.828,0.06872,0.68720,6552.89834,206.26679
35.956,0.06895,0.68953,6568.56067,206.75980
36.084,0.06930,0.69300,6568.27403,206.75078
36.212,0.06946,0.69464,6571.95531,206.86665
36.340,0.06970,0.69699,6573.36242,206.91095
36.468,0.07003,0.70035,6597.77448,207.67937
36.596,0.07031,0.70315,6602.74914,207.83596
36.724,0.07060,0.70602,6612.48878,208.14253
36.852,0.07083,0.70828,6618.33768,208.32664
36.980,0.07108,0.71077,6625.40763,208.54918
37.108,0.07136,0.71363,6635.37712,208.86299
37.236,0.07159,0.71593,6645.83137,209.19206
37.364,0.07193,0.71932,6651.79150,209.37967
37.492,0.07221,0.72210,6665.05614,209.79721
37.620,0.07250,0.72501,6669.42827,209.93483
37.748,0.07283,0.72835,6682.23121,210.33783
37.876,0.07306,0.73063,6682.42050,210.34379
38.004,0.07346,0.73456,6695.49912,210.75546
38.132,0.07359,0.73595,6698.13681,210.83849
38.260,0.07388,0.73877,6717.44243,211.44618
38.388,0.07420,0.74200,6726.34052,211.72627
38.516,0.07451,0.74511,6736.33534,212.04087
38.644,0.07476,0.74762,6743.53697,212.26756
38.772,0.07509,0.75088,6742.91141,212.24787
38.900,0.07531,0.75315,6753.89909,212.59373
39.028,0.07555,0.75555,6767.29414,213.01537
39.156,0.07581,0.75807,6775.06052,213.25983
39.284,0.07607,0.76066,6782.04298,213.47962
39.412,0.07638,0.76381,6785.31004,213.58246
39.540,0.07663,0.76629,6792.71454,213.81553
39.668,0.07692,0.76920,6794.62468,213.87566
39.796,0.07721,0.77214,6806.05615,214.23549
39.924,0.07742,0.77416,6816.37534,214.56031
40.052,0.07778,0.77784,6832.48571,215.06742
40.180,0.07811,0.78111,6836.36420,215.18950
40.308,0.07839,0.78386,6837.69925,215.23152
40.436,0.07872,0.78719,6853.31978,215.72322
40.564,0.07903,0.79032,6851.26558,215.65855
40.692,0.07930,0.79299,6865.55480,216.10834
40.820,0.07959,0.79588,6868.72134,216.20801
40.948,0.07993,0.79932,6883.61259,216.67675
41.076,0.08023,0.80228,6893.47177,216.98709
41.204,0.08049,0.80490,6892.09045,216.94361
41.332,0.08070,0.80701,6894.98022,217.03457
41.460,0.08090,0.80903,6908.18638,217.45026
41.588,0.08120,0.81197,6915.63493,217.68472
41.716,0.08143,0.81434,6932.34182,218.21061
41.844,0.08180,0.81799,6931.08394,218.17101
41.972,0.08206,0.82063,6940.66587,218.47262
42.100,0.08228,0.82283,6944.56690,218.59542
42.228,0.08256,0.82559,6960.02157,219.08189
42.356,0.08293,0.82929,6967.82107,219.32739
42.484,0.08319,0.83194,6973.31316,219.50027
42.612,0.08346,0.83459,6982.47372,219.78862
42.740,0.08377,0.83769,6988.04094,219.96386
42.868,0.08402,0.84022,7001.13184,220.37592
42.996,0.08433,0.84332,7002.92360,220.43232
43.124,0.08452,0.84524,7011.49315,220.70207
43.252,0.08486,0.84859,7020.48926,220.98524
43.380,0.08510,0.85101,7017.78806,220.90021
43.508,0.08537,0.85366,7033.82591,221.40504
43.636,0.08570,0.85700,7032.35161,221.35863
43.764,0.08586,0.85857,7041.32488,221.64109
43.892,0.08615,0.86154,7052.95653,222.00722
44.020,0.08647,0.86468,7062.12619,222.29585
44.148,0.08667,0.86670,7068.59488,222.49947
44.276,0.08707,0.87071,7077.65248,222.78458
44.404,0.08723,0.87234,7083.27021,222.96141
44.532,0.08756,0.87562,7086.76770,223.07150
44.660,0.08781,0.87808,7097.98975,223.42474
44.788,0.08804,0.88036,7102.75597,223.57476
44.916,0.08833,0.88334,7107.38813,223.72057
45.044,0.08860,0.88604,7123.81197,224.23755
45.172,0.08890,0.88905,7125.90601,224.30346
45.300,0.08905,0.89053,7127.76002,224.36182
45.428,0.08931,0.89310,7133.34134,224.53751
45.556,0.08956,0.89564,7138.78590,224.70888
45.684,0.08980,0.89804,7153.23224,225.16362
45.812,0.09015,0.90152,7158.92420,225.34278
45.940,0.09041,0.90410,7173.73114,225.80886
46.068,0.09069,0.90693,7181.32429,226.04787
46.196,0.09098,0.90978,7188.76730,226.28216
46.324,0.09114,0.91143,7192.23098,226.39119
46.452,0.09151,0.91515,7202.48296,226.71389
46.580,0.09168,0.91681,7207.25379,226.86406
46.708,0.09200,0.92004,7212.15339,227.01829
46.836,0.09228,0.92280,7213.86649,227.07221
46.964,0.09256,0.92556,7229.52832,227.56520
47.092,0.09278,0.92780,7225.29677,227.43200
47.220,0.09304,0.93043,7241.77396,227.95066
47.348,0.09334,0.93344,7249.99276,228.20936
47.476,0.09359,0.93595,7261.33569,228.56641
47.604,0.09390,0.93905,7270.09525,228.84213
47.732,0.09423,0.94225,7272.24430,228.90978
47.860,0.09448,0.94480,7285.94671,229.34109
47.988,0.09475,0.94747,7288.17751,229.41131
48.116,0.09493,0.94926,7281.26039,229.19358
48.244,0.09522,0.95220,7300.76789,229.80762
48.372,0.09545,0.95446,7298.89375,229.74863
48.500,0.09581,0.95810,7318.86520,230.37727
48.628,0.09613,0.96131,7325.37126,230.58207
48.756,0.09637,0.96373,7327.19628,230.63951
48.884,0.09661,0.96615,7327.97464,230.66401
49.012,0.09685,0.96853,7342.89158,231.13356
49.140,0.09731,0.97314,7347.23115,231.27015
49.268,0.09765,0.97647,7361.56341,231.72129
49.396,0.09791,0.97906,7361.49425,231.71912
49.524,0.09823,0.98228,7364.18431,231.80379
49.652,0.09842,0.98424,7366.91621,231.88978
49.780,0.09874,0.98744,7382.12563,232.36853
49.908,0.09902,0.99024,7382.74823,232.38813
50.036,0.09929,0.99288,7391.65875,232.66861
50.164,0.09950,0.99502,7407.63922,233.17163
50.292,0.09987,0.99872,7410.65434,233.26654
50.420,0.10017,1.00170,7412.91288,233.33763
50.548,0.10036,1.00355,7414.33016,233.38224
50.676,0.10066,1.00660,7429.41720,233.85714
50.804,0.10094,1.00939,7438.77100,234.15157
50.932,0.10123,1.01233,7447.37027,234.42225
51.060,0.10161,1.01605,7458.35012,234.76787
51.188,0.10182,1.01823,7456.07257,234.69618
51.316,0.10208,1.02079,7459.10262,234.79155
51.444,0.10230,1.02305,7467.23289,235.04747
51.572,0.10270,1.02705,7479.67407,235.43908
51.700,0.10294,1.02944,7481.59492,235.49955
51.828,0.10321,1.03213,7489.44584,235.74667
51.956,0.10347,1.03472,7496.93591,235.98244
52.084,0.10374,1.03744,7502.49264,236.15735
52.212,0.10394,1.03940,7500.36189,236.09028
52.340,0.10419,1.04192,7502.26859,236.15030
52.468,0.10440,1.04404,7516.57227,236.60054
52.596,0.10464,1.04642,7526.49018,236.91272
52.724,0.10499,1.04987,7539.86725,237.33380
52.852,0.10522,1.05216,7538.97786,237.30580
52.980,0.10546,1.05463,7539.35462,237.31766
53.108,0.10576,1.05763,7549.65791,237.64198
53.236,0.10601,1.06007,7556.23100,237.84888
53.364,0.10632,1.06325,7559.84979,237.96279
53.492,0.10648,1.06478,7564.44119,238.10732
53.620,0.10674,1.06743,7569.81051,238.27633
53.748,0.10706,1.07057,7584.14559,238.72755
53.876,0.10727,1.07270,7590.79855,238.93697
54.004,0.10757,1.07566,7599.52975,239.21180
54.132,0.10780,1.07802,7594.45130,239.05195
54.260,0.10805,1.08049,7608.90696,239.50697
54.388,0.10827,1.08270,7626.73435,240.06813
54.516,0.10863,1.08625,7636.03624,240.36093
54.644,0.10887,1.08865,7636.62229,240.37937
54.772,0.10913,1.09135,7635.07828,240.33077
54.900,0.10940,1.09399,7642.46063,240.56315
55.028,0.10957,1.09575,7644.99642,240.64297
55.156,0.10993,1.09930,7648.87940,240.76519
55.284,0.11012,1.10116,7662.76710,241.20234
55.412,0.11042,1.10418,7672.88537,241.52083
55.540,0.11076,1.10762,7685.34955,241.91317
55.668,0.11105,1.11054,7691.99231,242.12227
55.796,0.11137,1.11373,7689.98636,242.05912
55.924,0.11151,1.11511,7694.21224,242.19214
56.052,0.11185,1.11848,7702.00890,242.43756
56.180,0.11216,1.12164,7719.03569,242.97351
56.308,0.11244,1.12445,7714.91753,242.84389
56.436,0.11277,1.12774,7721.74801,243.05889
56.564,0.11300,1.13002,7724.30799,243.13947
56.692,0.11319,1.13187,7729.58510,243.30558
56.820,0.11352,1.13524,7746.27800,243.83103
56.948,0.11374,1.13741,7745.22507,243.79788
57.076,0.11400,1.13998,7752.04386,244.01252
57.204,0.11430,1.14300,7757.49814,244.18420
57.332,0.11458,1.14577,7762.78285,244.35055
57.460,0.11489,1.14887,7775.65900,244.75586
57.588,0.11517,1.15168,7775.20404,244.74154
57.716,0.11556,1.15560,7785.77531,245.07429
57.844,0.11584,1.15844,7793.52004,245.31807
57.972,0.11616,1.16161,7805.16872,245.68474
58.100,0.11647,1.16473,7799.76491,245.51464
58.228,0.11669,1.16686,7811.28992,245.87742
58.356,0.11697,1.16972,7812.63248,245.91968
58.484,0.11725,1.17252,7821.68378,246.20459
58.612,0.11751,1.17508,7822.24086,246.22212
58.740,0.11781,1.17806,7834.20275,246.59865
58.868,0.11807,1.18069,7845.29803,246.94790
58.996,0.11836,1.18358,7847.81640,247.02717
59.124,0.11861,1.18610,7848.36536,247.04445
59.252,0.11892,1.18919,7861.60003,247.46104
59.380,0.11918,1.19179,7862.35975,247.48495
59.508,0.11941,1.19415,7871.62501,247.77660
59.636,0.11971,1.19708,7872.83568,247.81471
59.764,0.11998,1.19980,7882.74437,248.12660
59.892,0.12031,1.20308,7881.88618,248.09959
60.020,0.12062,1.20620,7892.71327,248.44040
60.148,0.12084,1.20836,7895.99159,248.54359
60.276,0.12116,1.21155,7908.49189,248.93706
60.404,0.12146,1.21457,7912.01109,249.04784
60.532,0.12174,1.21742,7918.91566,249.26517
60.660,0.12196,1.21961,7924.82174,249.45108
60.788,0.12221,1.22215,7935.76063,249.79541
60.916,0.12252,1.22519,7928.56378,249.56887
61.044,0.12275,1.22749,7939.93923,249.92694
61.172,0.12294,1.22945,7938.01944,249.86651
61.300,0.12333,1.23333,7958.16038,250.50049
61.428,0.12359,1.23592,7967.75941,250.80264
61.556,0.12394,1.23944,7963.55141,250.67018
61.684,0.12415,1.24148,7969.01276,250.84209
61.812,0.12442,1.24424,7973.81197,250.99316
61.940,0.12470,1.24695,7983.20603,251.28885
62.068,0.12496,1.24961,7988.66394,251.46065
62.196,0.12527,1.25272,7996.71191,251.71398
62.324,0.12557,1.25572,8004.14664,251.94801
62.452,0.12583,1.25833,8013.22617,252.23380
62.580,0.12618,1.26176,8017.65206,252.37312
62.708,0.12639,1.26388,8019.02403,252.41630
62.836,0.12672,1.26715,8026.60606,252.65496
62.964,0.12695,1.26946,8032.81116,252.85028
63.092,0.12714,1.27141,8035.49648,252.93481
63.220,0.12747,1.27468,8050.03130,253.39233
63.348,0.12779,1.27793,8045.96644,253.26437
63.476,0.12810,1.28098,8058.22185,253.65014
63.604,0.12845,1.28446,8065.82115,253.88934
63.732,0.12865,1.28651,8075.31140,254.18807
63.860,0.12891,1.28906,8074.37240,254.15851
63.988,0.12917,1.29175,8078.60579,254.29177
64.116,0.12946,1.29457,8086.39031,254.53680
64.244,0.12981,1.29808,8097.47801,254.88581
64.372,0.13008,1.30078,8098.51922,254.91859
64.500,0.13035,1.30346,8107.35392,255.19668
64.628,0.13055,1.30551,8104.27884,255.09988
64.756,0.13086,1.30856,8119.63532,255.58326
64.884,0.13111,1.31113,8119.83039,255.58940
65.012,0.13142,1.31421,8131.25089,255.94889
65.140,0.13168,1.31684,8136.49345,256.11391
65.268,0.13197,1.31969,8142.66069,256.30804
65.396,0.13223,1.32231,8149.06817,256.50973
65.524,0.13243,1.32428,8153.41320,256.64650
65.652,0.13280,1.32798,8160.85745,256.88082
65.780,0.13306,1.33065,8166.16598,257.04792
65.908,0.13339,1.33392,8171.94732,257.22990
66.036,0.13364,1.33641,8176.42494,257.37084
66.164,0.13406,1.34063,8179.58840,257.47042
66.292,0.13443,1.34431,8186.95214,257.70221
66.420,0.13462,1.34624,8190.38397,257.81023
66.548,0.13490,1.34903,8190.59435,257.81685
66.676,0.13512,1.35122,8200.03483,258.11401
66.804,0.13548,1.35478,8211.10952,258.46261
66.932,0.13581,1.35810,8217.97589,258.67875
67.060,0.13606,1.36062,8223.71117,258.85928
67.188,0.13633,1.36327,8232.56623,259.13801
67.316,0.13662,1.36620,8229.57929,259.04399
67.444,0.13686,1.36858,8241.84470,259.43007
67.572,0.13717,1.37174,8243.52802,259.48306
67.700,0.13743,1.37432,8246.92988,259.59014
67.828,0.13769,1.37688,8259.05661,259.97185
67.956,0.13803,1.38034,8262.59967,260.08338
68.084,0.13833,1.38331,8267.28143,260.23075
68.212,0.13863,1.38627,8277.80231,260.56192
68.340,0.13887,1.38874,8269.81100,260.31037
68.468,0.13912,1.39121,8285.31231,260.79831
68.596,0.13934,1.39339,8278.00622,260.56833
68.724,0.13971,1.39706,8295.37325,261.11500
68.852,0.14001,1.40007,8300.94072,261.29025
68.980,0.14024,1.40236,8305.37744,261.42990
69.108,0.14050,1.40495,8304.03507,261.38765
69.236,0.14070,1.40704,8302.24761,261.33138
69.364,0.14094,1.40940,8312.49155,261.65383
69.492,0.14130,1.41298,8328.12632,262.14597
69.620,0.14156,1.41556,8331.50207,262.25223
69.748,0.14187,1.41867,8340.09611,262.52275
69.876,0.14215,1.42149,8341.49755,262.56686
70.004,0.14240,1.42398,8355.11718,262.99557
70.132,0.14264,1.42641,8349.37665,262.81487
70.260,0.14286,1.42859,8357.71189,263.07724
70.388,0.14317,1.43166,8360.64125,263.16945
70.516,0.14339,1.43386,8372.28736,263.53604
70.644,0.14375,1.43751,8373.80959,263.58395
70.772,0.14392,1.43925,8378.38251,263.72790
