""
"Test Method","Tensile test (ROUND specimen).msm"
"Sample I. D.","MaterialX_RT_1mm_min_fi64.mss"
"Specimen Number","2"

"Time (s)","Extension (mm)","Strain (%)","Load (N)","Stress (MPa)"

0.368,0.00023,0.00233,85.18671,2.68144
0.624,0.00070,0.00696,190.69426,6.00252
0.880,0.00101,0.01009,284.36838,8.95112
1.136,0.00146,0.01462,375.88041,11.83166
1.392,0.00185,0.01853,478.92781,15.07530
1.648,0.00226,0.02263,577.18700,18.16822
1.904,0.00266,0.02659,678.60842,21.36068
2.160,0.00317,0.03165,786.15927,24.74608
2.416,0.00347,0.03469,867.26157,27.29895
2.672,0.00388,0.03881,966.90686,30.43551
2.928,0.00432,0.04319,1079.57198,33.98189
3.184,0.00474,0.04738,1172.40312,36.90395
3.440,0.00521,0.05207,1278.37627,40.23969
3.696,0.00570,0.05698,1380.63045,43.45836
3.952,0.00601,0.06006,1471.09811,46.30603
4.208,0.00639,0.06386,1576.22105,49.61500
4.464,0.00692,0.06918,1670.21229,52.57358
4.720,0.00736,0.07359,1780.72971,56.05236
4.976,0.00775,0.07746,1877.66439,59.10359
5.232,0.00814,0.08135,1971.54301,62.05862
5.488,0.00855,0.08546,2067.23873,65.07086
5.744,0.00901,0.09012,2169.82531,68.29999
6.000,0.00937,0.09371,2271.84545,71.51130
6.256,0.00977,0.09772,2368.54851,74.55524
6.512,0.01021,0.10212,2471.25640,77.78819
6.768,0.01057,0.10571,2560.77613,80.60602
7.024,0.01092,0.10920,2658.35944,83.67767
7.280,0.01142,0.11421,2756.57771,86.76931
7.536,0.01183,0.11827,2848.53977,89.66401
7.792,0.01223,0.12234,2954.75448,93.00735
8.048,0.01267,0.12673,3048.32332,95.95264
8.304,0.01307,0.13073,3149.54761,99.13889
8.560,0.01347,0.13466,3234.92290,101.82627
8.816,0.01389,0.13890,3326.01200,104.69350
9.072,0.01424,0.14242,3411.86471,107.39590
9.328,0.01465,0.14654,3514.26902,110.61930
9.584,0.01512,0.15124,3600.34983,113.32888
9.840,0.01557,0.15565,3697.04527,116.37258
10.096,0.01597,0.15974,3776.71338,118.88031
10.352,0.01645,0.16451,3864.09324,121.63078
10.608,0.01687,0.16872,3948.97063,124.30248
10.864,0.01734,0.17339,4046.74108,127.38002
11.120,0.01773,0.17732,4110.04967,129.37279
11.376,0.01816,0.18158,4190.78490,131.91411
11.632,0.01864,0.18641,4270.36059,134.41893
11.888,0.01915,0.19149,4339.44865,136.59363
12.144,0.01963,0.19627,4415.14400,138.97630
12.400,0.02012,0.20119,4493.51777,141.44329
12.656,0.02066,0.20660,4555.85804,143.40559
12.912,0.02116,0.21158,4624.87311,145.57799
13.168,0.02167,0.21666,4675.18727,147.16173
13.424,0.02230,0.22302,4727.24249,148.80029
13.680,0.02277,0.22769,4777.91650,150.39536
13.936,0.02331,0.23310,4825.63123,151.89729
14.192,0.02394,0.23936,4881.88272,153.66793
14.448,0.02458,0.24578,4938.18583,155.44019
14.704,0.02506,0.25058,4968.29499,156.38794
14.960,0.02570,0.25705,5009.99404,157.70051
15.216,0.02635,0.26348,5041.92632,158.70565
15.472,0.02677,0.26768,5076.77983,159.80274
15.728,0.02739,0.27388,5110.73806,160.87165
15.984,0.02786,0.27864,5145.38744,161.96231
16.240,0.02850,0.28496,5168.43626,162.68782
16.496,0.02904,0.29043,5192.41416,163.44258
16.752,0.02966,0.29658,5228.17402,164.56820
17.008,0.03010,0.30104,5248.63162,165.21215
17.264,0.03077,0.30769,5272.40897,165.96059
17.520,0.03134,0.31343,5295.59815,166.69052
17.776,0.03197,0.31969,5324.48686,167.59986
18.032,0.03264,0.32643,5344.29414,168.22334
18.288,0.03301,0.33013,5361.31657,168.75915
18.544,0.03352,0.33519,5396.65549,169.87152
18.800,0.03419,0.34189,5412.45714,170.36892
19.056,0.03469,0.34690,5426.94551,170.82497
19.312,0.03525,0.35245,5453.04302,171.64644
19.568,0.03582,0.35816,5476.17317,172.37452
19.824,0.03633,0.36330,5492.00310,172.87280
20.080,0.03688,0.36880,5524.31033,173.88974
20.336,0.03745,0.37452,5533.18625,174.16913
20.592,0.03788,0.37876,5551.54606,174.74704
20.848,0.03844,0.38438,5572.84314,175.41741
21.104,0.03897,0.38971,5593.30286,176.06143
21.360,0.03950,0.39498,5616.56658,176.79371
21.616,0.04010,0.40096,5639.30433,177.50943
21.872,0.04069,0.40687,5653.97328,177.97116
22.128,0.04119,0.41194,5672.40741,178.55142
22.384,0.04167,0.41668,5687.68876,179.03243
