""
"Test Method","Tensile test (ROUND specimen).msm"
"Sample I. D.","MaterialX_RT_1mm_min_fi64.mss"
"Specimen Number","5"

"Time (s)","Extension (mm)","Strain (%)","Load (N)","Stress (MPa)"

0.244,0.00008,0.00083,43.50128,1.36930
0.372,0.00034,0.00340,99.97218,3.14684
0.500,0.00053,0.00530,148.26091,4.66684
0.628,0.00075,0.00754,198.84096,6.25895
0.756,0.00090,0.00902,244.42495,7.69381
0.884,0.00113,0.01130,306.36328,9.64345
1.012,0.00137,0.01368,346.75506,10.91487
1.140,0.00156,0.01560,398.44773,12.54201
1.268,0.00175,0.01753,448.55232,14.11916
1.396,0.00192,0.01924,491.56635,15.47312
1.524,0.00209,0.02095,544.65779,17.14429
1.652,0.00226,0.02264,590.41384,18.58457
1.780,0.00248,0.02478,648.26715,20.40562
1.908,0.00275,0.02745,692.44803,21.79631
2.036,0.00288,0.02877,730.91519,23.00715
2.164,0.00298,0.02977,769.25133,24.21387
2.292,0.00316,0.03160,817.76729,25.74101
2.420,0.00335,0.03348,868.70499,27.34439
2.548,0.00361,0.03608,925.46936,29.13117
2.676,0.00377,0.03768,980.06248,30.84961
2.804,0.00401,0.04005,1028.88060,32.38626
2.932,0.00422,0.04217,1076.05283,33.87111
3.060,0.00444,0.04441,1123.41721,35.36201
3.188,0.00453,0.04534,1169.13342,36.80103
3.316,0.00478,0.04776,1222.91362,38.49388
3.444,0.00506,0.05064,1272.34319,40.04978
3.572,0.00522,0.05217,1322.27973,41.62164
3.700,0.00542,0.05415,1374.12915,43.25372
3.828,0.00558,0.05584,1418.60415,44.65367
3.956,0.00577,0.05766,1460.01544,45.95718
4.084,0.00592,0.05922,1511.35931,47.57334
4.212,0.00620,0.06201,1553.64270,48.90430
4.340,0.00635,0.06351,1602.05202,50.42809
4.468,0.00651,0.06508,1651.78897,51.99367
4.596,0.00676,0.06756,1710.38742,53.83818
4.724,0.00688,0.06883,1741.19676,54.80797
4.852,0.00719,0.07194,1798.58412,56.61437
4.980,0.00740,0.07401,1835.51258,57.77677
5.108,0.00749,0.07495,1882.32385,59.25026
5.236,0.00766,0.07655,1926.59666,60.64384
5.364,0.00793,0.07927,1975.11854,62.17117
5.492,0.00822,0.08223,2019.15050,63.55717
5.620,0.00842,0.08421,2064.15347,64.97374
5.748,0.00868,0.08677,2112.22794,66.48699
5.876,0.00881,0.08813,2150.60930,67.69513
6.004,0.00904,0.09036,2194.18389,69.06673
6.132,0.00922,0.09217,2250.39986,70.83625
6.260,0.00936,0.09359,2286.76933,71.98106
6.388,0.00972,0.09717,2336.71141,73.55310
6.516,0.00984,0.09837,2374.56132,74.74451
6.644,0.01006,0.10058,2419.46009,76.15779
6.772,0.01029,0.10287,2464.83854,77.58618
6.900,0.01048,0.10479,2507.92402,78.94239
7.028,0.01068,0.10681,2548.65457,80.22447
7.156,0.01079,0.10795,2587.90843,81.46007
7.284,0.01105,0.11052,2630.40618,82.79778
7.412,0.01124,0.11243,2676.02197,84.23364
7.540,0.01142,0.11424,2720.91658,85.64679
7.668,0.01169,0.11694,2761.39858,86.92105
7.796,0.01181,0.11812,2797.30072,88.05115
7.924,0.01204,0.12036,2841.44200,89.44060
8.052,0.01225,0.12245,2893.79091,91.08839
8.180,0.01245,0.12454,2931.50668,92.27558
8.308,0.01263,0.12627,2974.79967,93.63832
8.436,0.01277,0.12766,3002.16020,94.49955
8.564,0.01301,0.13013,3051.79304,96.06185
8.692,0.01316,0.13159,3091.08963,97.29880
8.820,0.01341,0.13415,3142.53010,98.91800
8.948,0.01367,0.13667,3182.87541,100.18796
9.076,0.01386,0.13860,3217.29374,101.27135
9.204,0.01403,0.14034,3257.48857,102.53657
9.332,0.01419,0.14186,3301.69725,103.92814
9.460,0.01443,0.14434,3340.35418,105.14495
9.588,0.01467,0.14673,3378.35224,106.34102
9.716,0.01486,0.14858,3421.88587,107.71133
9.844,0.01505,0.15050,3469.45729,109.20875
9.972,0.01540,0.15395,3495.32771,110.02308
10.100,0.01555,0.15550,3539.65611,111.41841
10.228,0.01563,0.15635,3564.26928,112.19316
10.356,0.01593,0.15929,3615.87290,113.81750
10.484,0.01611,0.16113,3655.12829,115.05315
10.612,0.01633,0.16331,3692.54370,116.23088
10.740,0.01656,0.16562,3733.54608,117.52152
10.868,0.01675,0.16746,3767.49622,118.59018
10.996,0.01697,0.16967,3805.87585,119.79826
11.124,0.01718,0.17176,3845.25157,121.03770
11.252,0.01741,0.17410,3872.46205,121.89420
11.380,0.01756,0.17564,3911.97217,123.13787
11.508,0.01780,0.17802,3947.77980,124.26500
11.636,0.01801,0.18013,3988.60377,125.55002
11.764,0.01825,0.18254,4026.49396,126.74270
11.892,0.01845,0.18449,4058.28743,127.74346
12.020,0.01866,0.18664,4090.74904,128.76526
12.148,0.01883,0.18827,4119.52437,129.67103
12.276,0.01902,0.19016,4158.07575,130.88452
12.404,0.01932,0.19318,4189.84511,131.88453
12.532,0.01957,0.19571,4227.67787,133.07540
12.660,0.01979,0.19785,4258.10596,134.03319
12.788,0.02001,0.20012,4289.07293,135.00794
12.916,0.02017,0.20172,4320.90135,136.00981
13.044,0.02046,0.20458,4350.03381,136.92682
13.172,0.02057,0.20573,4380.10310,137.87332
13.300,0.02092,0.20921,4410.42676,138.82782
13.428,0.02101,0.21012,4441.65143,139.81068
13.556,0.02130,0.21299,4481.91415,141.07804
