Name,Latitude,Longitude,Day,Color
Best Point Suites,41.0041,28.9816,All Days,Gray
Dolmabahçe Palace,41.0390,29.0006,Monday,Blue
Sayla Manti,40.9890,29.0273,Monday,Red
Bağdat Caddesi,40.9775,29.0738,Monday,Blue
Dönerci Engin'in Yeri,40.9876,29.0272,Monday,Red
Karga Bar,40.9893,29.0268,Monday,Red
Tarihi Besalti Kirvem,41.0045,28.9761,Monday,Red
